titles,authors,informs
타이피,허먼 멜빌 저,"세계대표명작을 엄선하여 줄거리, 주제등을  성우의 목소리로 들려주는 세계 명작  보물창고!  오디오북을 통해 세계 대표명작을 만나 보세요."
주홍 글씨,나다니엘 호손 저,"세계대표명작을 엄선하여 줄거리, 주제등을  성우의 목소리로 들려주는 세계 명작  보물창고!  오디오북을 통해 세계 대표명작을 만나 보세요."
음향과 분노,윌리엄 포크너 저,"세계대표명작을 엄선하여 줄거리, 주제등을  성우의 목소리로 들려주는 세계 명작  보물창고!  오디오북을 통해 세계 대표명작을 만나 보세요."
노생거 사원,제인 오스틴 저,"세계대표명작을 엄선하여 줄거리, 주제등을  성우의 목소리로 들려주는 세계 명작  보물창고!  오디오북을 통해 세계 대표명작을 만나 보세요."
라스트 모히칸,제임스 쿠퍼 저,"세계대표명작을 엄선하여 줄거리, 주제등을  성우의 목소리로 들려주는 세계 명작  보물창고!  오디오북을 통해 세계 대표명작을 만나 보세요."
꽃등연서 8부 - 꽃이 붉다 한들,유춘강 저,"유춘강 작가의 10부작 장편소설 - ‘나의 인생은 더 이상 조선에 없어.’ - 16세기에 조선과 중국 일본을 시 하나로 평정한 최초의 국제적 베스트셀러 작가 허난설헌은 2019년 잠실근처 토성마을에서 8년째 살고 있다. 사자자리에 유성우가 내리던 날 지긋지긋한 조선을 탈출했다. 마치 런던의 버지니아 울프가 코트 주머니 가득 돌을 집에 넣고 템즈강을 향해 걸어갔듯이. 비록 16세기는 스물일곱에 요절한 동양 최고의 여류시인으로 기록됐지만 21세기는 주민센타에서 시를 강의 하고, 대필작가로 살며 자신만의 글을 쓰는 고즈넉한 삶을 산다. 그러던 어느 날 믿을 수 없는 일이 벌어진다. 남편 김성립을 꼭 닮은 남자, 일본의 미남배우 ‘사카구치 켄타로’가 바로 앞집으로 이사 온 것이다. 안개 낀 밤 골목에서 마주친 그는 유령을 본 듯 놀라는 그녀에게 직진하듯 말한다, - ‘나, 김성립 대기만성의 남편이 되겠소.’ - 허난설헌을 죽음으로 이르게 한 원인제공자이며 가장 찌질한 남편의 알려진 김성립. 사실 그는 16세기 기방을 외모 하나로 평정한 꽃선비이며, 조선시대 부적응자인 난설헌을 사랑한 조선판 츤데레 이다. 사대부가의 선비답게 의병장으로 참여한 임진왜란 당시 전투 중 떨어진 유성으로 인해 죽음의 위기에 처했을 때 가슴에 품고 있던 아내의 시, <유선사> 덕에 목숨을 구한 김성립. <유선사>에 반해 그를 구한 왜승 게이테츠 겐쇼는 자살을 선택하려는 그에게 반드시 아내를 만나게 될 것이라는 예언을 한다. 유성의 남자는 시간의 지배를 받지 않는다는 아리송한 말과 함께. 해서 그는 살았다. 1593부터 2019년까지. - ‘그립고 그리우니 바람이 되어서라도 찾겠습니다.’ - 일본에서 500여 년간의 독수공방의 지루한 시간을 기를 쓰고 살아낸 김성립과 16세기는 잊고 서울에서 욜로 족으로 자신만의 생을 사는 난설헌. 드디어 16세기의 그대와 21세기의 당신이 서울에서 만난다. 아내는 무명의 작가, 남편은 타고난 재능을 발휘해 인기배우로. 무덤가를 지키는 꽃등에 새겨진 문신처럼 오래된 그 둘의 사랑은 여전할까? 500년을 이어진 꽃등연서는 과연 전해져서 21세기에는 그들의 사랑이 통할까……."
[12편 오디오드라마] 복층 기숙사의 진실,약빤꽃게 저,"#기숙사괴담 #귀신은있다 #머리카락의주인은누구 실화 기반 이야기 <소쓰있>의 오디오드라마 12편. 반도체 공장에서 일했던 지영님의 사연 제 첫 직장은 기숙사를 제공해주었는데요. 여자 4명이서 방 2개 딸린 복층 아파트를 같이 썼었어요. 2명씩 방을 나누고 복층은 어두침침해서 아무도 쓰지 않았는데요. 저는 다락방 같은 느낌이 너무 좋아서 복층을 박박 청소해서 나만의 아지트처럼 썼어요. 근데 누가 자꾸 복층에 머리카락을 잔뜩 떨어뜨려 놓는 거에요. 내가 열심히 꾸미고 정리해놨는데, 누가 몰래 복층쓰고 치우지도 않으니깐 성질이 나더라고요? 그래서 범인 색출에 나섰는데 저랑 방 같이 쓰는 애도 아니고, 다른 방에 있는 애 한명도 아니라서 남은 애 한명인 줄 알았거든요. 근무시간대가 달라서 나머지 한명이랑 얼굴 볼 기회가 없었는데, 어느 날 만나게 돼서 물어봤더니 걔도 아닌 거에요! 우리 4명 중 아무도 머리카락 주인이 없었습니다! 정말 너무 무서워서 그 길로 회사를 그만두었습니다. 기숙사에서 직접 경험한 공포 실화!"
[5편 오디오드라마] 내가 만났던 쓰레기,잠꼬대 저,"#양다리도아니고세다리 #환장대파티 #김치싸대기재현할뻔 막장 실화를 소개하는 <소쓰있>의 오디오드라마 5편. 잡지 기자인 정윤님의 사연 대학교 때부터 10년간 좋아했던 오빠에 대한 이야기를 하고 싶어요. 신입생 OT 때 오빠에게 반해 따라다니다가, 사귄 지 일주일만에 동생으로밖에 안 느껴진다며 오빠에게 채였어요. 하지만 그 후에도 선후배로 쭉 관계를 이어왔어요. 오빠를 좋아했지만 다른 남자를 안 만난 건 아니에요. 연애할 땐 굉장히 열정적으로 해요. 그래도 오빠가 다시 저와 만나자고 한다면, 저는 누굴 만나고 있든 남친을 버리고 오빠한테 갈 것 같아요. 오빠에게 집착하는 저, 어떡하면 좋을까요? 정윤의 파란만장한 연애사의 끝은?"
[10편 오디오드라마] 그의 허언증,달빛타래 저,"#뜻밖의행운요주의 #촉은존재해 #SNS사기 실화 기반 이야기 <소쓰있>의 오디오드라마 10편. 강원도 군 부대에 근무했던 백현준님의 사연 살면서 한번도 거짓말을 안 해본 사람은 없을 거에요. 근데 군대 동기인 연우는 제가 살면서 단 한번도 만난 적 없는 별종이었어요. 부대 내에서 연우와 민성이는 유독 친하게 지냈는데, 한번은 민성이가 연우의 여친 사진을 보게 되었어요. 여친은 상당한 미인이었고, 연우는 약간 뻐기듯이 민성이에게 여친의 친구는 더 미인인데 소개를 시켜주겠다고 한 거에요. 그런데 민성이가 휴가를 받아 소개팅에 나갔다가 바람을 맞은 겁니다. 알고 보니 모든 게 연우의 거짓말이었고, 연우는 허언증은 처음이 아니었습니다... 현실이 더 막장임을 여실히 보여주는 허언증 동료 실화!"
"영웅의 부활 (윤석열 VS 이재명, 누가 이길까?)",송동윤 저,"영웅의 부활은 지금까지의 작품과들과는 결이 완전히 다른 그의 네 번째 작품이다. ""내 가슴속에는 빼앗길 수 없는 것이 하나 있다. 그것은 바로 희망이라는 것이다"" 영화 <쇼생크탈출>에서 바람조차도 빠져나올 수 없다는 쇼생크 감옥에 갇힌 주인공이 절망 속에서 했던 대사입니다. 대선을 앞두고 나는 다시 희망을 품습니다. 5월 한 달 동안 그 희망의 대상인 윤석열 전총장과 이재명 도지사 두 분의 캐릭터를 <초한지>의 유방과 항우, 한신 <삼국지>의 조조 등 영화에 등장하는 영웅들과 비교해서 이번 대선의 결과를 분석해 봤습니다. 나에게는 흥미로운 작업이었습니다. 그러나 한 번도 뵌 적이 없는 두 분께는 실례가 아닐지 모르겠습니다만, 이번 대선에서 영웅의 부활을 꿈꾸는 많은 사람들에게는 선물이 될 수도 있습니다."
