titles,authors,informs,clip_links
축복받은 집,줌파 라히리,"2013년 9월에 발표한 두 번째 장편소설 <로랜드The Lowland>로 영국 맨부커상 최종심과 미국 내셔널북어워드 본심에 오르며 작가로서 자신의 자리를 굳힌 줌파 라히리의 첫 소설집 <축복받은 집>의 개정판. 첫 소설집으로 1999년에 오 헨리 문학상과 펜/헤밍웨이 문학상, 2000년에 퓰리처상을 수상하며 미국 문단에 등장한 줌파 라히리도 어느덧 데뷔한 지 십 년이 훌쩍 넘은 중견 작가다. 단편소설집과 장편소설을 각각 두 권씩 번갈아 발표하며 자신의 문학 이력을 차곡히 쌓은 그의 문학사는 단순히 작가 한 사람의 문학사가 아니라 미국 문학, 세계문학 전체의 역사와 맞닿아 있다. '이민자 문학'은 없다며, 그런 문학이 있다면 '거주자 문학'이 따로 있느냐고 반문하는 라히리의 목소리는 정체성을 규정당하기를 거부하는 문학 본연의 목소리 자체다. 미국인이라는 말도, 인도인이라는 말도 어색한 인간 줌파 라히리의 의구심 가득한 시선이 특유의 담담한 필체와 만나 묘한 아이러니를 자아낸다. ""보기 드물게 우아하고 침착한 작가""의 ""세련된 등단집""이라며 극찬을 받은 <축복받은 집>에는 <이름 뒤에 숨은 사랑> <그저 좋은 사람> <로랜드>를 관통하는 줌파 라히리의 문제의식이 압축적으로 담겨 있다. 그 묘미를 번역가 서창렬의 새로운 번역으로 맛볼 수 있다.",https://audioclip.naver.com/audiobooks/A51EE8C750
천로역정,존 번연,"세계대표명작을 엄선하여 줄거리, 주제등을  성우의 목소리로 들려주는 세계 명작  보물창고!  오디오북을 통해 세계 대표명작을 만나 보세요.",https://audioclip.naver.com/audiobooks/A3A1A2E341
아직 멀었다는 말,권여선,"발표하는 작품마다 동료 작가와 평단의 비상한 관심을 모으며 한국문학의 품격과 깊이를 더하는 작가 권여선의 여섯번째 소설집. 작가는 소설을 쓸 때 어쩔 수 없이 이끌리게 되는 ‘익숙한 것’에서 벗어나 자신이 ‘모르는 영역’으로 한 발 한 발 걸어들어간다. 스물한 살의 스포츠용품 판매원인 ‘소희’(「손톱」)에서부터 레즈비언 할머니인 ‘데런’과 ‘디엔’(「희박한 마음」)에 이르기까지, 기존의 익숙한 것을 금지시킴으로써 어느 때보다 다양한 인물들을 향해 뻗어나가는 이번 소설집은 권여선 소설의 전환을 보여주는 작품으로 우리에게 “한 번도 먹어본 적 없는 생선의 맛처럼 부드러운 놀람”(「전갱이의 맛」)을 선사할 것이다. * 본 오디오북은 한국산업단지공단의 지원을 받아 제작되었습니다.",https://audioclip.naver.com/audiobooks/9167C32B59
명탐정 푸아로 오디오북 베스트 세트,애거서 크리스티,"‘추리 소설의 여왕’ 애거서 크리스티, 그녀가 창조한 최고의 명탐정 푸아로의 걸작들을 오디오북 할인 세트로 만나다! ‘추리 소설의 여왕’ 애거서 크리스티가 탄생시킨 명탐정 푸아로, 그가 등장하는 최고의 작품들만을 엄선한 「명탐정 푸아로 오디오북 베스트 세트」가 황금가지에서 출간되었다. 윌리엄 셰익스피어와 성경 다음으로 전 세계에서 가장 많이 팔리는 작가인 애거서 크리스티를 대표하는 명탐정 캐릭터인 푸아로는 셜록 홈즈, 브라운 신부와 더불어 세계 3대 명탐정으로 꼽힌다. 푸아로의 데뷔작 『스타일스 저택의 괴사건』을 비롯하여 출간과 함께 부고가 《뉴욕 타임스》에 실림으로써 푸아로를 《뉴욕 타임스》에 부고가 실린 유일한 가상의 인물이라는 기록을 남길 수 있게 한 푸아로의 은퇴 작품 『커튼』까지, 푸아로가 활약하는 대표작 7종을 한데 묶어 할인가로 영구 소장할 수 있는 특별 세트로 선보인다. ☑️구성 오디오북(푸아로 활약 연대순) 1. 스타일스 저택의 괴사건 2. 애크로이드 살인 사건 3. 오리엔트 특급 살인 4. ABC 살인 사건 5. 나일 강의 죽음 6. 다섯 마리 아기 돼지 7. 커튼",https://audioclip.naver.com/audiobooks/5FF549CD79
변신,프란츠 카프카,"""그 사건은 어느 날 아침에 일어났다! 잠에서 깨어난 그레고르는 자신이 침대 속에서 흉측한 벌레로 변한 것을 발견했다."" 인간의 고독과 불안을 담아낸 체코의 이상, 프란츠 카프카(1883~1924). 무대위에서 노래하듯 벌레 그레고르를 낭독한 뮤지컬 배우 김무열. 젊은 이들이 꼭 한번은 들어봐야 할, 절망의 밑바닥 그 소리를 들려드립니다.",https://audioclip.naver.com/audiobooks/6BA2F1575D
레인보우시리즈 RED,오디언,"전 이제 그 애에게 뭐라고 말햐야 할까요? 어렸을 때 부터 함께 해온 여주인공을 짝사랑하는 지후와 그녀의 애인이자 지후의 대학 동창인 우빈은 서로를 의식하며 살아가고 있다. 그러던 어느 날, 다큐멘터리 사진기자로 오지를 떠돌며 여주인공을 외롭게 하던 우빈에게 커다란 사건이 터지게되는데… 우빈이 이대로 사라져 버릴까 불안해하는 지후와 한편으론 그녀 곁에 지후가 있어 안심하는 우빈. 과연 이 이야기의 끝은? 레인보우프로젝트시리즈는 청자가 여자주인공이 되어보는 참여형 오디오드라마입니다. 직접 여주인공이되어 대화해보세요~",https://audioclip.naver.com/audiobooks/48DFA83930
요약) 전쟁과 평화,원작 : 톨스토이 / 요약 : 북코스모스,"1864∼1869년 작품. 전 4편과 에필로그로 되어 있다. 전반에는 중심인물인 귀족들의 생활과 국외에서의 전투, 후반에서는 국내에서의 전투와 '어떻게 살 것인가' 하는 사상적 문제가 다루어져 있다. 이 작품은 역사소설과 예술소설의 훌륭한 융합이다. 우선 러시아 건국 이래의 일대 역사적 사건인 1812년 전쟁을, 아우스터리츠·볼로디노·셴그라벤 등 각지의 주요 전투를 비롯하여 모스크바 소실(燒失), 프랑스군 퇴각에 이르기까지를 상세하고도 높은 예술성과 명확성으로써 묘사하여 단순한 역사소설로서도 러시아 문학뿐만 아니라 세계문학에서 최고의 위치를 점하고 있다.",https://audioclip.naver.com/audiobooks/CE4A3AE7F6
푸른 달 스무하루 3권,하라,"“고리야, 절대, 절대로 여자애란 걸 들키면 안 된다. 알았지?” 쌍둥이 오라비 은고를 대신해 남장하고 들어간 황궁. 여섯 살의 고리는 인생 최대 악연을 만났다. 일명 지옥의 어린 야차. 제 2황자 유강. “꼬맹이 각오는 하고 날 찼겠지?” 신발 한 짝으로 시작된 험난한 인생 가시밭길. 십 년을 숨겼으나, 비밀에는 한계가 있었다. 절대로! 결코! 여자인 게 밝혀지면 안 돼! 하지만 냉혹한 피의 황자로 성장한 유강은 남장한 그녀를 의미심장하게 응시했다. “오늘 밤, 내 처소로 오너라.”",https://audioclip.naver.com/audiobooks/A772DAC433
심해어,배현,"갑자기 지하철이 무너졌다 극한의 재난 속에서 드러나는 적나라한 인간군상의 면면을 파고드는 공포 소설! 원인이 밝혀지지 않은 붕괴 사고로 지하철이 무너진다. 단순한 운행 지연으로 치부하던 사람들은 고립이 길어지자 점차 예민해지고, 견디다 못한 누군가의 제안으로 문을 열고 선로를 따라 탈출을 시도한다. 꼬박 하루 동안 아무것도 먹지 못한 나는 가방에 숨겨 둔 빵을 몰래 꺼내 겨우 한입 베어 무는데, 굶주렸던 사람들은 음식 냄새를 맡자 잔뜩 날을 세운 채 웅성거린다. 그리고 잠시 후, 어디선가 누군가가 칼에 찔렸다는 이야기가 들려오고 암흑 속에 갇힌 이들은 더욱 극심한 공포와 불안에 떨게 되는데……. 극단적인 상황 속에서 점차 본성을 드러내는 이들의 천태만상을 심해어의 속성에 비유하며, 어두운 군중 심리를 예리한 시선으로 담아내는 재난 공포 소설! 황금가지의 온라인 소설 플랫폼 브릿G와 네이버 오디오클립이 함께한 ‘YAH!(Young Adult Horror)’ 문학 공모전 우수상 수상작으로, 원작 단편은 브릿G 웹사이트와 모바일앱에서 읽을 수 있다. - 📌성우들의 열연, 환상적인 BGM과 연출! 황금가지의 드라마형 오디오북 목록 [애거서 크리스티 추리 베스트 12] 나일 강의 죽음 커튼 애크로이드 살인 사건 스타일스 저택의 괴사건 서재의 시체 살인을 예고합니다 비뚤어진 집 다섯 마리 아기 돼지 ABC 살인사건 0시를 향하여 그리고 아무도 없었다 오리엔트 특급 살인사건 [이영도 판타지 시리즈] 눈물을 마시는 새 그림자 자국 오버 더 호라이즌 오버 더 네뷸러 오버 더 미스트 오버 더 초이스 에소릴의 드래곤 [하지은 작가 대표작] 얼음나무 숲 [공포 단편 오디오북] 증명된 사실 검은 책 홍수 심해어 공포의 ASMR 나 홀로 숨바꼭질 인형괴담 귀신보다 무서운",https://audioclip.naver.com/audiobooks/7EC502CF02
홍수,배명은,"“소용없어. 지금 주위에 아무도 없어. 아가씨와 나뿐이라고.” 홍수로 밀폐된 상황에서 맞닥뜨린 의문의 남자, 그리고 서서히 드러나는 공포! 태풍이 강타하자 온 마을이 삽시간에 물에 잠긴다. 살림살이 하나라도 더 챙겨보겠다고 안간힘을 다하던 ‘은화’는 갑자기 불어 오른 물길에 까무룩 정신을 잃고 만다. 가까스로 살아남았지만 깨어보니 가족들과 마을 사람들은 온데간데없고 웬 낯선 남자만 보이는 상황. 외지인으로 보이는 남자는 쩝쩝거리는 소리와 알 수 없는 혼잣말을 반복하며 은화를 점점 더 극한의 공포로 몰아넣는다. 그런데 그때, 밖에서 자신의 이름을 부르는 소리가 들려 구조 요청을 하자 갑자기 돌변한 남자가 은화를 강하게 붙들기 시작하는데……. 홍수라는 예측불가의 자연재해에 더해, 홀로 고립된 화자의 상태까지 맞물리며 불안과 공포의 위력을 이중으로 배가시키는 작품. 흥미로운 반전까지 놓치지 마시길! 황금가지의 온라인 소설 플랫폼 브릿G와 네이버 오디오클립이 함께한 ‘YAH!(Young Adult Horror)’ 문학 공모전 우수상 수상작으로, 원작 단편은 브릿G 웹사이트와 모바일앱에서 읽을 수 있다. - 📌성우들의 열연, 환상적인 BGM과 연출! 황금가지의 드라마형 오디오북 목록 [애거서 크리스티 추리 베스트 12] 나일 강의 죽음 커튼 애크로이드 살인 사건 스타일스 저택의 괴사건 서재의 시체 살인을 예고합니다 비뚤어진 집 다섯 마리 아기 돼지 ABC 살인사건 0시를 향하여 그리고 아무도 없었다 오리엔트 특급 살인사건 [이영도 판타지 시리즈] 눈물을 마시는 새 그림자 자국 오버 더 호라이즌 오버 더 네뷸러 오버 더 미스트 오버 더 초이스 에소릴의 드래곤 [하지은 작가 대표작] 얼음나무 숲 [공포 단편 오디오북] 증명된 사실 검은 책 홍수 심해어 공포의 ASMR 나 홀로 숨바꼭질 인형괴담 귀신보다 무서운",https://audioclip.naver.com/audiobooks/702E3E6535
